Model,Cold_Start_Items,Saved_Name,Base_Model,Epochs,Batch_Size,Learning_Rate,Train_Time_Seconds,recall@20,recall@50,ndcg@100,coverage@20,Folder
Nomic,,amazon_beauty_nomic_finetuned,nomic-ai/nomic-embed-text-v1.5,5,24,1e-05,0,0.06130001877665429,0.14599608162692274,0.09262315137332525,0.1642651296829971,Result_nomic_Model
BGE-M3,,amazon_beauty_bge_m3_finetuned,BAAI/bge-m3,5,24,1e-05,0,0.062078834976031234,0.14362069221882304,0.09215237656695512,0.1585014409221902,Result_BGE-M3_Model
MPNet,,amazon_beauty_mpnet_finetuned,sentence-transformers/all-mpnet-base-v2,5,24,1e-05,0,0.06141684120656083,0.1432702249291034,0.09361333661810287,0.16138328530259366,Result_MPNet_Model
MPNet,500,amazon_beauty_mpnet_500_finetuned,sentence-transformers/all-mpnet-base-v2,5,24,1e-05,0,0.1503999407301294,0.2535334527074881,0.1558074696999487,0.9945652173913043,2026-05-15_09-22-33_9634324
BGE-M3,500,amazon_beauty_bge_m3_500_finetuned,BAAI/bge-m3,5,24,1e-05,0,0.14156260564308637,0.260939721299026,0.1538783349409553,1.0,2026-05-15_09-25-55_9278349
Nomic,500,amazon_beauty_nomic_500_finetuned,nomic-ai/nomic-embed-text-v1.5,5,24,1e-05,0,0.13721793557319872,0.23319527938894577,0.15218014527557572,1.0,2026-05-15_09-43-17_9151202
Nomic,1000,amazon_beauty_nomic_1000_finetuned,nomic-ai/nomic-embed-text-v1.5,5,24,1e-05,0,0.09488444099006524,0.16389392707139733,0.10616690624951708,0.9960629921259843,2026-05-15_09-51-56_9778920
MPNet,1000,amazon_beauty_mpnet_1000_finetuned,sentence-transformers/all-mpnet-base-v2,5,24,1e-05,0,0.0871393312105888,0.16801365685841677,0.10526072510010401,0.9862204724409449,2026-05-16_11-10-44_9049017
